HAPPY,leisure,relations,educationeconomy,economy,environment,safety,health
a,0.6331,0.7425,0.6839,1,0.4637,0.747,0.922
a,0.6691,0.4608,0.5013,0.9806,0.2865,0.932,0.6742
a,0.2817,0.4317,0.2679,0.6915,0.503,0.5537,0.5898
c,0.3257,0.4182,0.2464,0.6533,0.4196,0.5347,0.4794
b,0.3313,0.3519,0.4879,0.4445,0.4992,0.6072,0.6373
b,0.2329,0.1339,0.5119,0.477,0.3075,0.648,0.6024
e,0.1831,0.2511,0.1537,0.248,0.5523,0.5424,0.5225
d,0.267,0.3539,0.4649,0.2732,0.4991,0.463,0.4177
e,0.2337,0.0893,0.1063,0.1313,0.6812,0.6119,0.3987
d,0.3076,0.5292,0.4725,0.2104,0.5545,0.4675,0.4683
c,0.1548,0.4966,0.8054,0.1496,0.647,0.3241,0.4783
e,0.2498,0.5292,0.1314,0.1538,0.4726,0.4769,0.3925
a,0.2175,0.2809,0.3663,0.4415,0.4215,0.6215,0.8437
a,0.2337,0.4891,0.5487,0.7569,0.3967,0.5025,0.5414
a,0.2737,0.6415,0.5632,0.3355,0.4848,0.5365,0.6074
e,0.1998,0.257,0.2969,0.3788,0.5817,0.4676,0.3309
b,0.3594,0.4795,0.3886,0.6418,0.4408,0.5034,0.5995
d,0.2391,0.3858,0.2392,0.8277,0.4086,0.3618,0.4905
a,0.371,0.4053,0.2797,0.9332,0.3213,0.674,0.7313
d,0.2002,0.224,0.3623,0.3594,0.4874,0.5241,0.336
d,0.2037,0.1551,0.1501,0.2858,0.425,0.6448,0.5065
a,0.2724,0.4501,0.503,0.921,0.5075,0.4234,0.6763
a,0.3043,0.3016,0.5955,0.9933,0.416,0.6969,0.6171
a,0.192,0.4959,0.4632,0.6091,0.5124,0.456,0.6596
b,0.2317,0.4123,0.3951,0.4233,0.4779,0.4855,0.715
a,0.4288,0.2166,0.3472,0.7565,0.1966,0.6374,0.8268
b,0.1076,0.1042,0.2663,0.2933,0.2964,0.7178,0.8836
c,0.1358,0.1553,0.3953,0.6842,0.4844,0.6587,0.6041
e,0.1243,0.0094,0.4087,0.2217,0.5508,0.4401,0.4181
c,0.1193,0.127,0.5995,0.4598,0.4563,0.2883,0.5989
a,0.0655,0.4833,0.5999,0.3831,0.4052,0.4551,0.7246
c,0.0871,0.2272,0.619,0.3297,0.5422,0.5062,0.4537
e,,0.4301,0.5832,0.0844,0.5921,0.3248,0.4344
d,0.1267,0.3783,0.5989,0.336,0.6508,0.3942,0.3278
e,0.0909,0.3788,0.7165,0.2831,0.1976,0.1436,0.361
c,0.0904,0.4859,0.7324,0.3769,0.6128,0.1765,0.5716
e,0.2904,0.522,0.2152,0.9899,0.1776,0.2717,0.07
c,0.0238,0.4122,0.5233,0.4785,0.443,0.43,0.4166
d,0.0404,0.1557,0.4581,0.3607,0.3782,0.4349,0.561
e,0.0517,0.1217,0.5093,0.541,0.3668,0.1576,0.5559
c,0.5211,0.5078,0.5007,0.4298,0.8287,0.4411,0.3824
a,0.598,0.4463,0.6247,0.781,0.2231,0.7281,1
e,0.0965,0.2631,0.3777,0.2675,0.7253,,0.3681
e,0.1395,,0.5229,0.3363,,0.1849,0.2596
c,0.0817,0.2008,0.4699,0.2459,0.3868,0.4562,0.8312
e,0.2337,0.4278,0.7195,0.4411,0.5778,0.2096,0.2541
b,0.2263,0.6297,0.707,0.2827,0.7551,0.2574,0.4321
d,0.2009,0.3674,0.766,0.3487,0.4726,0.3668,0.3122
c,0.3028,0.5173,0.499,0.4486,0.7268,0.306,0.4013
b,0.2992,0.3831,0.3333,0.8391,0.4888,0.2809,0.5908
b,0.3058,0.8203,0.7253,0.582,0.3129,0.7416,0.4211
d,0.1238,0.5808,0.7789,0.4015,0.493,0.3015,0.3239
e,0.0862,0.4516,0.5361,0.4603,0.4239,0.3163,0.3139
e,0.0541,0.4549,0.5,0.2607,0.5649,0.3734,0.258
d,0.1692,0.6808,0.5639,0.2846,0.6082,0.3322,0.4128
e,0.1622,0.6203,0.4347,0.4769,0.5231,0.3136,0.2295
e,0.0991,0.1831,0.3674,0.3265,0.4066,0.3312,0.3222
d,0.6199,0.5983,0.1909,0.1021,0.8149,0.4645,0.3468
b,0.5264,0.276,0.5987,0.3745,0.5139,0.755,0.1772
a,0.6748,0.4808,0.6093,0.586,0.5641,0.2974,0.8355
b,0.3163,0.5386,0.7607,0.4646,0.48,0.3045,0.7003
a,0.4459,0.7109,0.6859,0.1891,0.6024,0.3902,0.6913
b,0.472,0.7926,0.6689,0.2865,0.7149,0.1966,0.5237
c,0.3659,0.6661,0.7236,0.4107,0.676,0.1435,0.4107
d,0.2359,0.466,0.7541,0.2084,0.6414,0.0392,0.615
a,0.3258,0.6778,0.6226,0.3407,0.6457,0.1405,0.8593
a,0.2666,0.2432,1,0.4407,0.6546,0.3141,0.7111
a,0.4697,0.5762,0.968,0.5779,0.7096,0.3601,0.635
d,0.4418,0.5909,0.8592,0.5136,0.2606,0.18,0.4975
c,0.3197,0.6615,0.6832,0.3613,0.5284,0.4789,0.3388
a,0.3988,0.567,0.8894,0.7907,0.0733,0.5006,0.5059
b,0.3528,0.4644,0.7956,0.6519,0.5184,0.4477,0.4507
b,0.4658,0.886,0.7281,0.7063,0.5107,0.4291,0.2201
a,0.555,0.8033,0.7199,0.7027,0.3364,0.529,0.5847
c,0.4478,0.6737,0.587,0.5119,0.6524,0.1578,0.232
b,0.3505,0.6117,0.7801,0.4787,0.4935,0.4344,0.3975
a,0.324,0.5492,0.7748,0.5456,0.6296,0.3541,0.5489
c,0.205,0.5723,0.8666,0.3016,0.6434,0.3894,0.5362
a,0.3354,0.7167,0.8866,0.5658,0.5422,0.4114,0.4105
c,0.1534,0.7119,0.5391,0.4546,0.3525,0.4468,0.5367
b,0.2223,0.9014,0.7989,0.3779,0.6023,0.4316,0.3612
e,0.2951,0.3863,0.655,0.605,0.245,0.2515,0.1359
d,0.2116,0.4181,0.4777,0.2125,0.5047,0.2929,0.7414
e,0.2747,0.3177,0.6281,0.551,0.4483,0.4194,0.2814
c,0.2897,0.7029,0.7661,0.4146,0.6464,0.2593,0.3542
a,0.5638,0.92,0.7262,0.6877,0.7482,0.5269,0.495
b,0.252,0.6446,0.6839,0.4192,0.5781,0.4206,0.567
e,0.309,0.8731,0.6473,0.3032,0.7385,0.2716,0.1406
d,0.3735,0.568,0.74,0.4448,0.4327,0.4564,0.2476
d,0.4324,0.4479,0.6935,0.6114,0.3514,0.3102,0.2895
a,0.3326,0.9343,0.8557,0.469,0.6277,0.4638,0.3599
b,0.3558,0.8661,0.8337,0.4296,0.6481,0.4408,0.3316
d,0.2935,0.5394,0.426,0.4264,0.7839,0.1968,0.221
b,0.2485,0.8206,0.8399,0.4828,0.642,0.399,0.2603
d,0.466,0.8055,0.5562,0.5031,0.4036,0.1751,0.3232
c,0.4178,0.5314,0.5669,0.6725,0.2897,0.2407,0.316
e,0.5242,0.4324,0.8854,0.5597,0.4621,0.0707,0.1904
d,0.2691,0.6917,0.6643,0.509,0.6119,0.2981,0.2079
b,0.3607,0.6861,0.7077,0.8189,0.4235,0.1456,0.3758
d,0.2677,0.6939,0.3887,0.5155,0.6372,0.197,0.3259
e,0.5063,0.7096,0.7058,0.4818,0.2943,0.2128,0.2252
e,0.5181,0.2324,0.7527,0.626,0.4173,0.1127,0.316
d,0.5813,0.3756,0.7788,0.3567,0.5744,0.2874,0.3271
d,0.7067,0.2145,0.4499,0.1592,0.7912,0.3704,0.3187
c,0.6209,0.2763,0.435,0.3195,0.8264,0.4336,0.6021
d,0.6428,0.4959,0.2166,0.2334,0.9072,0.3619,0.2278
a,0.3742,0.694,0.9163,0.3543,0.7182,0.2573,0.5158
c,0.5222,0.6389,0.8496,0.4601,0.3475,0.2228,0.3926
b,0.5634,0.4982,0.7821,0.4155,0.6507,0.3929,0.336
c,0.5987,0.6288,0.5509,0.417,0.6233,0.4471,0.345
b,0.7228,0.3939,0.3456,0.4605,0.6582,0.5021,0.269
c,0.4105,0.6317,0.3912,0.3419,0.6616,0.5777,0.4349
b,0.5861,0.6598,0.8884,0.405,0.5679,0.3152,0.4336
b,0.4844,0.4133,0.434,0.3694,0.6628,0.5624,0.3439
b,0.6106,0.679,0.7509,0.3292,0.4682,0.7374,0.2338
b,0.8509,0.7109,0.6244,0.402,0.8183,0.885,0.2006
e,0.6234,0.4582,0.2596,0.481,0.6143,0.3591,0.204
b,0.8498,0.5307,0.1452,0.5146,0.7956,0.9585,0.2109
c,0.3631,0.4799,0.3258,0.2248,0.6829,0.4033,0.4098
c,0.8618,0.514,0.3247,0.3429,0.6507,0.7363,0.3897
a,0.7282,0.2445,0.1876,0.2229,0.6011,0.9071,0.4396
a,0.8195,0.9047,0.2333,0.4389,0.6498,0.6855,0.2707
c,0.6599,0.5825,0.3854,0.3372,0.6615,0.462,0.2236
c,0.76,0.4732,0.3986,0.4463,0.6845,0.4523,0.2776
d,0.4627,0.2071,0.8624,0.51,0.4217,0.3199,0.3098
d,0.5708,0.4601,0.6123,0.4617,0.642,0.3987,0.3005
c,0.3968,0.3781,0.8351,0.5417,0.2652,0.4489,0.4418
b,0.7833,0.3907,0.391,0.3346,0.5971,0.6734,0.4248
a,0.7636,0.6194,0.6201,0.3992,0.6766,0.7188,0.6798
a,0.8419,0.3546,0.5048,0.2216,0.721,0.656,0.5451
d,0.7543,0.3338,0.1948,0.8134,0.2333,0.6791,0.2458
b,0.7425,0.1679,0.6809,0.2711,0.4692,0.7031,0.4389
b,0.9285,0.346,0.7805,0.8167,0.3132,0.5607,0.3402
c,0.5742,0.3599,0.679,0.5127,0.3703,0.6013,0.447
d,0.9132,0.483,0.3556,0.4496,0.4169,0.5448,0.238
b,0.4255,0.461,0.7677,0.607,0.2853,0.511,0.5588
a,0.652,0.3977,0.9708,0.3255,0.6178,0.3693,0.589
e,0.6714,0.1416,0.6917,0.2914,0.4541,0.2568,0.1333
c,0.6699,0.5856,0.7662,0.6999,0.215,0.1211,0.3894
e,0.6266,0.4061,0.4736,0.5949,0.4232,0.3472,0.1287
b,0.555,0.3563,0.6768,0.2452,0.6138,0.3316,0.6328
a,0.5015,1,0.8135,0.3867,0.9096,0.3911,0.4171
e,0.4082,0.4928,0.3652,0.665,0.2107,0.1738,0.0066
a,0.8612,0.3199,0.7188,0.454,0.7413,0.8158,0.4979
c,0.7826,0.6508,0.4818,0.0922,0.7339,0.5057,0.4912
a,0.7615,0.6825,0.6138,0.2688,0.5758,0.6447,0.312
b,0.8614,0.2398,0.7694,0.3304,0.6956,0.8459,0.2275
b,0.4893,0.3028,0.6033,0.3543,0.561,0.551,0.4667
c,0.7818,0.3786,0.4369,0.3729,0.6408,0.67,0.249
e,0.3323,0.3153,0.5712,0.3552,0.6947,0.6847,0.1115
b,0.3519,0.8702,0.8056,0.3866,0.4421,0.2984,0.4718
e,0.3348,0.3227,0.8449,0.4131,0.1792,0.2728,0.249
c,0.3773,0.3905,0.9334,0.2726,0.3728,0.1333,0.5754
d,0.7403,0.5178,0.66,0.1673,0.6658,0.3092,0.3904
a,0.7962,0.5118,0.8382,0.1012,0.7331,0.2421,0.5603
e,0.4983,0.2215,0.4906,0.1869,0.5769,0.0311,0.3859
a,0.5532,0.5971,0.6903,0.4415,0.5987,0.3544,0.3709
a,0.9962,0.334,0.0306,0.0937,1,0.6069,0.5571
d,1,0.3613,0.1036,0.2084,0.8709,0.7477,0.3417
c,0.9189,0.5011,0.1613,0.0086,0.8372,0.5225,0.3596
b,0.6959,0.5354,0.0287,0.0766,0.799,0.7756,0.4289
c,0.818,0.5823,0.0539,0.1177,0.8585,0.5305,0.361
c,0.6402,0.635,0.2517,0.1484,0.7952,0.4587,0.4619
d,0.6294,0.4438,0.3643,0.129,0.6588,0.4696,0.3843
b,0.4002,0.6163,0.759,0.2837,0.549,0.5033,0.6341
c,0.4212,0.7349,0.3478,0.5344,0.3839,0.2859,0.3527
b,0.6732,0.7952,0.8416,0.3924,0.7285,0.4881,0.3118
b,0.6988,0.3704,0.469,0.2988,0.6215,0.3256,0.4574
d,0.6612,0.7399,0.4901,0.6389,0.2171,0.4471,0.1424
b,0.6318,0.7326,0.3737,0.2121,0.6428,0.4273,0.547
c,0.8735,0.5911,0.778,0.0748,0.8191,0.4876,0.4416
a,0.743,0.6244,0.3922,0.0555,0.8333,0.796,0.6572
c,0.5015,0.1995,0.189,0.0151,0.8551,0.715,0.4851
a,0.6882,0.3088,0.0683,0.0377,0.9192,0.6399,0.5853
a,0.7755,0.6785,0.6615,0.2053,0.6607,0.6547,0.6129
e,0.5507,0.3267,0.1344,0.1096,0.7342,0.6419,0.24
c,0.6882,0.6734,0.2276,0.0801,0.7295,0.6645,0.4792
d,0.4834,0.3024,,0.0664,0.7229,0.5232,0.5408
e,0.8807,0.2163,0.5228,0.5254,0.2336,0.3806,0.2897
b,0.7899,0.5591,0.8237,0.2631,0.7162,0.5,0.4197
a,0.7066,0.4599,0.4961,0.0365,0.8023,0.6345,0.7103
c,0.6159,0.1876,0.5122,0.2436,0.7491,0.6475,0.4051
a,0.7513,0.5321,0.0853,0.2061,0.8814,0.6643,0.4592
e,0.6135,0.4794,0.0837,0.0996,0.8204,0.7232,0.2666
e,0.7364,0.2691,0.2949,0.0593,0.894,0.6804,0.1898
e,0.606,0.1915,0.2695,0.0203,0.8988,0.6037,0.1162
d,0.3689,0.5338,0.6452,0.4484,0.2852,0.2703,0.3855
d,0.2951,0.3691,0.6627,0.5391,0.5335,0.1795,0.3539
d,0.2332,0.2687,0.5189,0.2879,0.5807,0.2369,0.3326
c,0.3937,0.6605,0.7815,0.225,0.5613,0.4685,0.4155
e,0.3438,0.3133,0.9158,0.7075,0.2851,0.2672,0.0585
c,0.2259,0.5389,0.6489,0.2283,0.4795,0.6277,0.2906
e,0.4758,0.087,0.3817,0.2719,0.555,0.2148,0.3744
c,0.4531,0.3588,0.4685,0.156,0.7916,0.3812,0.4055
d,0.5747,0.3856,0.4576,0.1794,0.5476,0.471,0.3052
d,0.2563,0.4969,0.7763,0.4572,0.6624,0.2344,0.4052
e,0.6978,0.3773,0.247,0.1921,0.5672,0.5793,0.0055
e,0.513,0.033,0.0836,0.0567,0.7042,0.7196,0.2237
d,0.7737,0.5349,0.4436,0.1531,0.6717,0.8442,0.0907
e,0.6527,0.4313,0.1529,,0.7698,0.8188,0.0987
e,0.3577,0.4675,0.0139,0.1274,0.4786,0.3569,0.3655
c,0.4856,0.1803,0.2946,0.1835,0.8228,0.3543,0.3591
b,0.7581,0.341,0.4778,0.5104,0.8211,0.7428,
b,0.3945,0.0929,0.252,0.3541,0.7352,0.4864,0.5303
d,0.4719,0.478,0.8217,0.5639,0.6182,0.4379,0.2622
d,0.6828,0.5684,0.2797,0.0311,0.6424,0.4022,0.1455
e,0.6816,0.2471,0.0272,0.1169,0.6308,0.6992,0.1613
e,0.558,0.6763,0.1987,0.3157,0.618,0.3581,0.0535
a,0.6406,0.8096,0.3,0.5682,0.7662,1,0.1876
a,0.3348,0.3187,0.9004,0.4046,0.7452,0.3993,0.4732
e,0.4245,0.2249,0.8503,0.3619,0.5954,0.3615,0.2398
d,0.4213,0.3434,0.8182,0.3999,0.6964,0.242,0.3079
d,0.1475,0.4835,0.9055,0.5228,0.6984,0.264,0.2019
c,0.535,0.3838,0.6355,0.207,0.7807,0.617,0.2676
e,0.1987,0.3562,0.6174,0.6011,0.5248,0.2521,0.1163
b,0.2007,0.6759,0.5557,0.5173,0.6661,0.2798,0.5265
d,0.123,0.5297,0.9113,0.5637,0.5311,0.4125,0.2656
a,0.8145,0.3957,0.4605,0.1227,0.8567,0.5732,0.4545
b,0.5221,0.6543,0.7669,0.6504,0.589,0.5355,0.304
a,0.4935,0.3526,0.308,0.3175,0.8946,0.698,0.6022
b,0.4154,0.2248,0.6217,0.3232,0.8042,0.7044,0.4364
d,0.5354,0.3728,0.6532,0.199,0.841,0.7821,0.2455
d,0.4708,0.6235,0.3184,0.1811,0.7235,0.4709,0.2093
c,0.7607,0.3351,0.4212,0.1208,0.8105,0.4006,0.3469
c,0.6758,0.2192,0.5064,0.1401,0.7717,0.7012,0.2036
d,0.4838,0.5717,0.8178,0.1799,0.7998,0.4392,0.215
e,0.79,0.051,0.164,0.0373,0.9117,0.4268,0.2128
b,0.6948,0.6107,0.6468,0.425,0.6842,0.4461,0.2537
b,0.6948,0.6107,0.6468,0.425,0.6842,0.4461,0.2537
